Label,Tweets
Positive, Serbet kalýrsa ki kalýr Bunun hala cezasý yok ama hedef göstermenin var O yüzden sadece duamý paylaþacaðým Rabbim seni islah etsin
Negative,Kes tipsiz kel 
Positive,pubg da isim nasýl deðiþtiriliyorrr
Negative,umudu yarýnda olanýn aklýna sokayým yarýn yok
Negative,öyle mi kevaþe ne üzerinden yorum yapalým kýçýndaki donun lastiði bile dolarla alýnýyor büyükbaþ
Positive,görünüþte herkes insandýr ama gerçek insan hal ehli olandýr
Negative,sinek gibi anani sikem 
Positive,sen yýllarca oku eðitimini al çalýþ didin ama elin cahili senin yerine çalýþsýn gaza gelir kitap ister okuyamaz
Negative,tiktok hiç kullanmadým Tiktok Fenomenleri olarak kendini gören beyin ve zeka özürlülere de Allah a havale ediyorum.
Positive,naber çocuk çocuk hareketlere davam mý
Negative,azgýn liseli sürtük
Positive,Ya þaka yapýyoruz falan ama ben bugün arkadaþýma SINAVA GÝREBÝLDÝN MÝ diye soru sormak zorunda kaldým ya. Bu nedir ya?
Positive,maç sonucu  fenerbahçe 41 demir grup sivasspor tebrikler fenerbahçe
Positive,Varken güneþ yokken kara bulutlar sarar etrýný deðilmi 
Negative,Herþey ortada zaten video resim erkek diyenlerin aklýna sokim aciz orospu piçler 
Positive,þunan evde yaptýðým birçok þeyin hiçbir amacý yook diye baðrýnarak þarký söylüyorum resmen o moddayým
Positive,Neden böyle önemli konular varken gündem saçma sapan iþlerle dolu olur anlamýyorum
Positive,þevket çoruh ile özge turna evleniyor
Negative,lan daha burada gerçek adýný yazamamýþsýn neyin þovu bu soytarý
Positive,9 aylýk evlilikçocuksuz boþanmaeþit kusur3 yýldýr nafaka ödüyorum takýlarýda götürdüdüðün borçlarý bana kaldýylisans eð
Positive,TCDD pandemiyi gerekçe göstererek engelli yurttaþlarýn ücretsiz ulaþým hakkýný iptal etti. Neymiþ efendim engelli yurttaþlar yüzeylere çok fazla temas ediyormuþ.Ama parasýný ödeyip bilet alýrsak özgürce seyahat edebilecekmiþiz. Büyük devletimiz fýrsatçýlýkta yine sýnýr tanýmýyor.
Negative,artist pezevenk takimi yakti rezildi
Negative,Bazý hocalarýmýz var direkt giriyor.
Positive,"Alaçatý yazlýklarýnda boy boy resim paylaþýp, çevreci numaralarý çeken ünlüler, burjuvalar. Bu eser sizin. Doymayan iþtahýnýz ülkeyi karýþ karýþ yok ediyor. Yazlýklarýnýz kýþlýklarýnýz çeþit çeþit. Ormanlarýn içinde. Seneye de bu arsalardan çevreci pozu verirsiniz havuz baþýnda."
Positive,"Sýkmayýn canýnýzý, kaybedeceksek sizin hatalarýnýzla kaybedelim. Gocunmayýz.. Her zaman yanýnýzdayýz."
Positive,merhaba diyor merhaba diyorum bu kadar mý diyorne yapim meþale mi yakim davul zurnayla mý karþýlýyim þimdi napim yani
Positive,Doðduðum günden tam 22 yýl sonra yine ayný tarihte mezun oldum bundan sonra kutsal sayým 30dur
Negative,evli çiftler ve tek bayanlar hepside erkek saðlam birtane evli çift veya tek bayan yok hepsi yalan dolan amk
Negative,Ha siktir lan göt veren noldu götün tutuþtu artistliðin buray kadardý amin evladý 
Positive,alesten 80 almistim gecen baharda 80 üzerine  çikamazsam kendimi gerizeka ilan edicem
Positive,Yeþim Salkým'a terbiyesiz diyorlar. Cem Uzan'la alakasý var mý?
Negative,hassiktir zýndýk piç 
Negative,hafifmeþrep erkeklerden hoþlanmýyorum erkek dediðinin fethi zor fatihi tek olmalý
Positive, Ayasofya nýn diriliþi 
Positive,survivor 2018 þampiyonu kim olur
Negative,kudurun 
Positive,en güzel sabahlar sabah namazý ile baþlar  hayýrlý sabahlar allah devletimizi milletimizi reisimizi korusun inþallah
Negative,orospu çocuklari siz orospu çocuðusunuz hayvanlar
Positive,Bekliorm
Negative,Orospu evlatlarýnýn kümesidir Can çekiþerek ölürken felsefeni iyi hatýrla aqdumun evladi 
Positive,Böyle basit bir dünyada sen benim için çok özelsin
Negative,Çünkü analarýný sikeriz dokunanlarýn
Positive,ahmedim aslaným nice senelere doðum günün kutlu olsun kardeþim
Positive,2020deki olaylara yetiþmeye çalýþýyorumdur
Negative,Gördüðün her gün yüzü haram olsun sana
Positive,Pompeo duyurdu! ABD'den Çin'e Sincan yaptýrýmý... 
Positive,Yine ne kaçýrdým 
Negative,Siz þakasýnýz nasýl bir CAHÝL yaklaþým yiyorsa Ýsrail in ABD ürünleri hiç sokturma içerde deðil dýþarda yap þovunu ama nerdeeeeee 
Negative,Böyle gerizakalý ayný havayý soluduðum için iðreniyorum potansiyel katil resmen Çocuða köpek saldýrdýðý Çocuðun baþýna gelen çok kötü bir þey ama ayný þeyi insanlar için de yapalým o zaman biri kötü diye hepsi ölsün sokakta ki tüm hayvanlarýn uyutulmasý gerektiðini savunuyo 
Positive,kaybetmekorkusu nankörlüðün aynadaki yansýmasý olmalý beklentiler sevgi olmalý insan hayatýnda
Positive, Kanka gel bi sigara icelim baslarýz saat daha 
Negative,Bu oc sikecez beklesinler sadece kazandik sansinlar sadeece orosbu cocuklari
Positive,"Siyasi partilerin görevi hükümet olmaktýr, hükümet olup devleti yönetmektir"
Negative,Siktir orospu çocuðu
Negative,Alsana tacizciz pezevenk alsana çocuk istismarcýsý kendini bilmez hadsiz bunlara ne die ses çýkarmadýnýz olayý bilmeden bi uzmn istismarçý die iftira atýyon 
Positive,dr mehmet emin balcý hocamýzla bir foto
Positive,Baþakþehir haftaya puan kaybedip bizi olmayacak hayallere sokturma çok pis küfür ederim 
Positive,instagramda Maraþ haberine alýnýp bana salvolar sallayan arkadaþlar var.
Positive, Bir kez daha anladýk ki yürekli ve kararlý olana lider deniyor Allah sizden razý olsun AyasofyaCamii
Negative, domal kýzým gizli çekim 
Positive, YaziCezmi mansuryavas tuba daha ne dediðimizi anlamýyorsun ki otomatiðe baðlamýþsýn laf söylüyorsun biz baþýboþ köpek istemiyoruz sokakta hayvanlara da yazýk baþýboþ sahipsiz hayvaný sokaða býrakýrsan araba da çarpar eziyete de uðrar çocuk da ýsýrýr 
Negative,Alçak levent özeren sene gecikmeli de olsa tutuklanmýþ temmuz evden cýkmayýn askere teslim olun diyodu bu it Muhalif olmak baþka þey hain olmak baþka Bu levent hep haindi hep soyledik 
Positive,dileriz tez vakitte israil e de demokrasi gelsin
Positive,ne demek çikolata zararlý
Negative,sus bi allahýn cezasý
Positive,Pardon da onalr kim ya her önüne gelen fenomen olabilir ordan yani seviye ayýrt etmiyor malesef keþke etse
Positive,seni bekliyorum 
Negative,paralý sponsor  erkek arayan kýzlar bulana kadar cebinde vibratörsüz sokaða çýkmasýnlar bi zahmet
Positive,böbreðini satta masrafsýz düðün yapalým
Negative, Ücretli show yapýyorum Sadece sanal show Numaram Porno Sikiþ porn Türbanlý Sik Liseli Çýtýr azdým Türkçe ifþa Türk porno Sikiþmek Boþalmak Sohbet Cinsellik Azdým Seksi Sanalseks Görüntülü Sanal sex Sakso Azgýn 
Positive,Arkadaþlar þöyle bir þey yapsak bugün herkes 10lira yollasa officialin ibanýna yüz kiþi katilsak beraber bin lira bin kiþi
Positive,"Fikir hürriyetinin olduðu, özgür düþünmenin kiþiye zarar verdirmediði bir devlet yapýsý"
Negative,SÝKTÝR OL GÝT OÇ
Positive,Arkadaþýn aracýnda an itibari ile diyarbakir sýcaklýðý. Varýn siz düþünün tulum içinde çalýþan saðlýk  çalýþanlarýný
Negative,aynençalýþan amcik pardon demir pas tutmaz
Positive,"Memlekette tüm AVMler açýlmýþ, plajlar dolmuþ, lig maçlarý baþlamýþ, pazarlar kurulmuþ ve herkes sokakta iken 65 yaþ üstünü eve týkmanýn bir anlamý var mý? Hepimizden daha dikkatli ve bilinçli olan bu gurubu üzmeyelim artýk, kaldýralým yasaðý"
Negative,Sokim aþýrý keyfimi kaçýrdý bu sýnav 
Negative,Nasýl kýydýnýz it herifler ALLAH BELANIZI VERSÝNN
Positive,"Babalar çocuklarýna baktýklarý için takdir görmesinler artýk, 2020 yýlýndayýz. Analýk görev, babalýk hobi deðil."
Positive,aylardýr okçular vakfýnda sürdürdüðümüz antrenmanlarýmýz bu hafta nihayete ermiþ bulunuyor
Positive,tutkunun aþkýn öfkenin dansý tangonun ilginç hikayesi
Positive,Tamam sebep ecel sahip Allah Doktor sebep þafi Allah 
Positive,çok özledik lütfen ona söyle
Negative,Senin ve ailenin kafalarýnýzý tek tek kesip vinçlerde sallandýracaðýz! Yatak odalarýnýza gireceðiz
Positive,biz cafede oturuyorduk o gelmiþti ben ne stres olcam o stres olsun 
Negative,Çok açýk ve net olmuþ.zikmekten beter etmiþsin.
Negative,ezanlar okunurken kudurup havlayan itler diye tag açýp hemen e baðladý olayý ula her kudurup aðladýðýnýz da senaryo ayný ama artýk izlenmiyorsunuz onun için durmak yok sizi kudurtmaya devamkeeee dünya lideridir efsanedir 
Positive,"aðlayarak yazmak isteyenler için, gözyaþý korumalý, su geçirmeyen günlük gelmiþtir."
Positive,hem sen niye gittin ki
Positive,Nasýl da gündem olamadýlar nasýl da ses getiremiyorlar Ýttifaklarý dahi ses etmiyor hatta destekliyor Siyaseten bir yerde buluþamakta en sonunda tarih ile inanç ile toplumun neredeyse tamamý ayný noktada buluþuyor 
Positive,bizim tartý 2 kg fazla tartýyormuþ tamam daha fazla zayýflamayacaðým tamam
Positive,Kapatýlmadan önce dizilerimi bitirmeye çalýþýyorumdur
Positive,Mert'i benim hesabýmda 87 kiþi takip ediyor. Size diyecek en ufak lafým bile yok. Yazýklar olsun vallahi 
Negative,ne alakasý var mal adam
Negative,ahmet sen yalaka mýsýn
Negative,onu ancak senin gibi hýyarlar yapar
Positive,Bunu da çalmazsýn ya
Negative,Gram hatýrlamýyorum yaa OFF AKLIMA SOKAM YAA 
Positive,Panoromalarda en iyilerden bahsedilirken sürekli Cemal Can dan bahsedilmesi týrnaklarýyla kazýyarak yaptý bu baþarýyý
Positive,çeyrek altýn 281 tl olmuþ lütfen bütçemizi sarsmayacak aralýklarla evlenin hem biraz daha tanýyýn birbirinizi
Positive,"Anasý kýzýmý býrakýp gittiðinde 1,5 yaþýndaydý þimdi 13 yaþýna girecek. Gelsin de ben ona hobi ne görev ne anlatayým."
Negative,Seratý koruyup kolla öldürürüm seni 
Positive,çocuk benden daha önce hiç böyle tepki görmediði için afalladý tabi niye abi falan diyebildi
Negative,Seni bir daha öpersem o gün kendimi kendi ellerimle öldürürüm 
Negative,hay ben senin adidas askina sokayim 
Negative,evli adamlarý ayartip yuvalarý bozan asifte ler biliyorsunuz artýk büyük tazminatlar var
Positive,Kýskançlýk her insaný kemiren bir duygu..
Negative,at yalaný sikiyim inananý
Positive, ders sýnavý yapýlsýn duyun sesimizi 
Positive,sosyal medya sms ve epostayý geride býraktý
Negative,seni bu yazdýklarýna piþman edicem
Negative,Sikem omarý manu geliyo manuuuu 
Negative,Götlek maþallah gavur gibi giyinmiþsin 
Positive,Kardeþim adý üstünde Antep fýstýðý Antepin merkezinde yetiþmiyor sadece o kadar
Negative,siz bu millete ihanet eden þerefsiz it sürüsüsünüz
Negative,kahpe senin anandýr aþaðýlýk devþirme köpek
Positive, kýzma ya 
Negative,Dünyanýzý sikem 
Positive,Diyanet Ýþleri Baþkaný Erbaþ:  Ayasofya'da 3 imam ve 5 müezzin görev yapacak
Positive,kafam ekmek kafa oldu dedi suratým tepsi gibi oldu dedi sonra çikolata yemeye gitti kilo aldým dedi
Negative,seni sevmek ölümse koyam g tüne gülümse wüqðsjznsldpdnsm 
Negative,en büyük ahlaksýz sensin ahlaksýz þerefiz isyanoðlu
Negative,o amýný yalar sikerim
Positive,Tam bir manipülatördür.
Negative,siktir lan götlek seni 
Positive,Çok acelem var ama iki saniye olsa da seni sevmeye geleceðim.
Positive,"Salgýnla mücadelede, dün 1.086 yeni hastamýz ve 16 can kaybýmýz vardý. Hastalýða bugün yakalanacak olanlarýn sayýsýný"
Positive,danla bilic bana yemeði çaðrýþtýrýyo  fgvkþlfkþldkþ lds 
Positive,Beþiktaþlýlarý konyasporlu yapyýðýmýz doðrudur
Negative,valla konsomatris kadrosu boþmuþuyar nihata
Positive, Bu bebeler için sadece kg mama eklenmiþ Mama desteði almamýz için ne yapmamýz gerekiyor Bunlar köyde ve günlük kg mama h 
Negative,Bunu acanýn amk
Negative,ablacim git bi lazer yaptir artik her yerine her gun bi yerine agda yaptirdigin ciyak ciyak storyleri izlemekten biktim aq
Negative,Haklý orospu çocuðu.
Negative,amk kürdü bu tiple nasil diaari cikiyon tipini sikiyim
Negative,takim kötü tudor felaket doðru yanliz unutulmamasi gereken bütün asistler maçin hakeminden geldibu vizyonsuz yalaka
Positive,hahahahaha asdfghhghjþ adamsýn nusret usta
Negative,Siktir git götveren seni 
Negative,He þu an öyle olduk þansýma sokim 
Negative,Cuneyt Ozdemiri eskisen bir bok zannediyordum OC iktidar yanlisi yalayici engellesin seni sanki cok lazim!
Negative,Özgüvenini sikem bunun ben bu kadar kötü olup kendini bu kadar beðenen baþka bir lavuk görmedim halý sahaya alýrsam siksinler 
Negative,Sondan önceki söz bu tagý açan çomarlar için deðil
Negative,senin de bayramýn kutlu olsun fýrlama
Positive, Ýlk defa mantýklý konuþan trabzonlu gördüm 
Negative,iðrençsin yaþýndan utan
Positive, Siz zannediyorsunuz ki tane sorunlu erkek var kadýnlar da o kadar salak ki gidiyor sürekli bunlarý buluyor
Negative, Kafir Amerika da faiz Müslüman Türkiye de faiz 
Negative,ya gerizeka embesil sen o olmazsa bu olur gibi davranýrsan tabi yalnýz kalýrsýn hakediyon
Negative, ABD gerizekalýlarý ayýklama uygulamasýný yasaklamak için önümüzdeki haftalarda harekete geçecek 
Negative,"insan nasýl bu kadar çirkinleþebilirin örneði,buyrun"
Negative,Kaç yýldýr instagram kullanýyorum  bu kim aq.
Positive,Bu kadar mutluyum anlatamam 
Negative,sen dua et bu gerizeka tudora karþý puan vermesin bizim hamsi
Positive,Neden davetiye gitmemiþ Daha geçen Red ettiler biri karantinadaymýþ diðeri de katýlmak istemedi haberler gösterdi çarpýk saçma salak haber paylaþýmlarýna birde saçma sapan baþlýk atýpta insanlarý kýþkýrtmaktan býkmadýnýz ya Ülke de Kadýn lar hayvanlar ve çocuklar yok ediliyor 
Positive,Kurtlarýn öldürdüðü çiftlik hayvaný oraný diðer ölümlerin yanýnda kadar Bu sorunu çözmek çok kolay Fakat insan sorunu çözmek yerine ortadan kaldýrmayý seçiyor Bir sorunu ortadan kaldýrdýðýnda bin sorunu baþýna bela ediyor haberi yok 
Negative,zehra gýbý olmak istiyorum tek ayak üstünde kýrk tane yalan söylüyor
Positive,makyaj yapmayan kezban oluyor  yapan yollu artýk sizde bir karar verin  yargýlamayý býrakýn
Negative,ben sinirli deðilim çevremdekiler beyinsiz
Positive,Ve hatýrlýyorum lokavt vardý bezgin fabrika düdüklerinin dizlerine yatýrýlmýþ olan sabah senin kalbini kakýþlardý Tomarla muþtuyu omuzlayarak genç adamlar polisin sevmediði genç adamlar sokaklarda patronlarý kudurtan gazeteler satarlardý 
Positive,yemekteyiz sosyoloji ve psikoloji okuyan arkadaþlarýma bu programý önermeliyim tam üzerine tez yazmalýk deðil mi
Negative,bu þerefsizin karýsý kapalý deðilmiydi ayrýca lüks hayat yaþamalarý normal burdan çaldýklarýný harcýyor adi pislik
Negative,Geber mahlukat insan bozmasý yaratýk! 
Negative, Hay sokam temas baðýmlýlýðýnýza sanarsýn hepsinin eli manitada 
Negative,ya benimsin ya kara topraðýn de belki barzo seviyodur
Positive,allah akýl fikir versin
Positive,Türkiye Cumhuriyeti Devletinin yasalarýný tanýmak ve Türkiye Cumhuriyeti Devleti ile hukuki ve mali bir muhataplýk oluþtur
Positive,kulampara gay olmadýðý halde erkeklerce istismara uðrayan genç erkek
Positive, hissesi sahipsiz mi hissesinde kim söz sahibi Hisseyi tekrar kota almak bu kadar zor mu Suç 
Positive,off cok guzel harikasin
Positive,kimseden korkumuz yok
Negative,gavat ebru artýk ikimizin  ben sikerim sen peçete tutarsýn dümbük
Negative, Hþþþt GIZLI FAÝÞELERR evli kadýnlar kýzlarr Eþini ensini paylaþanlarDM sanal azdým azgýn sikici sex sanalsex sanalseks dul türkporno türkifsa sikilmek ensest porno olgun sertsikiþ Kýzlarr Evlikadýn Swinger Cuckold Gavat 
Positive,Bir sorum olacak Türkiye F alternatifi olarak hangi uçaklara yönelebilir Mesela Eurofighter olabilir mi 
Positive,cerrahpasadurusu ögrencilerimizin gösterdigi asil ve klas durustur
Negative, hepinizin amýna 
Positive,insanin kader arkadasi olmali kararina kendin kadar sevinmeli
Negative,Sana ne lan göt veren 
Negative,manyak sapýk dini kendi nefsine uyduruyosun þarlatan
Positive,þiþko yanaklarýmý yoketme hilesi neydi acil biri söylesiin
Positive,özgürlükçü demokrasi gazetesi genel yayýn yönetmeni yýlmaz yýldýz ve yazýiþleri müdürü ishak yasul a 10 ar ay hapis
Positive,Beyler ilk etapta tane çingen alcam davul ve zurna çalan adaya öyle gelcem 
Positive,deneyelim bakalým yeni sistemi
Positive,"Bir yerli dizide adamýn biri, ayný anda 2 karýsý varken 18 yaþýndaki bir kýzý hamile býrakýp üzerine de kendi kardeþini öldürüp karýsýný da daha rahat taciz edebilmek için gelini yapýyor. Ve bu dizi NetflixTurkiye de deðil, TVne çatal da taksan izleyebildiðin bir TV kanalýnda."
Negative,Severim Ben Seni Candan Ýçeri Severim ben seni candan içeri Yolum vardýr bu erkandan içeri Beni bende demem bende deðilim Bir ben vardýr bende benden içeri Nereye bakar isem dopdolusun Seni kanda koyam benden içeri 
Positive,Pek de haksýz sayýlmazlar 
Positive,solmasýn gençliðin gamla kasvetle
Positive,Düþmaný dýþarýda aramýyacaksýn. Yunanlarý denize döksende kendi içindeki hainler onlarý kurtarýr.
Negative,Barýþý ona aylarca mobbing yapan bayýlýnca yemek verin diyen evrim þahsýyla etiketleme þizofren misin sen 
Negative,Allahým bunlar ve bunlarýn çocuklarý kazanamasýn inþallah. Eðitim sarfiyatý olur.
Negative,Sana giren ne kancik 
Negative, Koca yaþlý þiþko pezevenk gavat orusbu piç ibne götveren yavþak dünyaaaaa 
Positive,sabah ilkbahar öðlen yaz öðleden sonra sonbahar akþam kýþ mevsimine hoþgeldiniz
Positive,bunun galasýnda sinema salonunu tarasak ülkenin iq ortalamasý artar
Positive, Yanýmýzda olmayýp Duâlarýmýzda Ve Yüreðimizde Olanlar var Allah ým tez zamanda kavuþtur bizi Sana emanetler Lakin de 
Negative,Kumlarý g.tünüze monte edeceðiz
Positive, Arkadaþlar bu TT ye destek olalým mý herkes bi tanecik tweet atsa yeterli 
Negative,yarak emecek varmý
Negative,amk kahpesi seni siyah yaraðýma doyuracam kancýk
Negative,Götlek islamcýlarýn Türk düþmanlýðýndan gözü dönmüþ Ermenistan destekliyor vay amýsýna koyim ya 
Positive, Senin gibi kimse 
Positive,Tipsiz çýktýðým fotolarý tatlý buluyorum illa iyiyim dgdhfjf 
Positive,siz hep böyle gülün
Negative,bu aldatýlmýþlýðýn dýþa vurumu bence bunu çok boynuzlamýþlar ala geyik
Negative,Kafamda problem ama çok iyiyim parama göre alýr hepsi þekil senin vizyonuna sokim 
Negative, Parayla zevk falan olmaz ben fahiþe deðilim sadece zevk için sikiþir zevkime bakarým 
Negative,Sevgilisini eþini paylaþmak isteyen var mý Sohbet edebiliriz DM açýk cuckold swinger porno sex sikiþ anal sakso ayak fetiþ bisex gavat tek erkek tek kadýn seks threesome grup 
Negative,þu televizyon izlememekle övünenlerin ben ta amýna koyayým yaa televizyon izlemiyosun napýyosun amcýk amcýk instagramda falan takýlýyosun
Positive,belediyelerimizden hayvanlarýmýz için böyle hizmet bekliyoruz
Negative,surede kadýnlara açýkça mal eþya güçsüz ifadeleri mi var yoksa bazý erkeklerin kadýnlar 
Positive,bu rezilliðe sesiz kalma bizim bayraðýmýz son türk kalana kadar göklerde dalgalanacak ticaret adý altýnda bu rezliði yapamassýnýz 
Positive,orasýný bilemiyorum ama ben takip ederdim zamanýnda hoþuma gitmeyince paylaþýmlar takibi býraktým sadece engel
Positive, Önümüzdeki öðretim yýlý baþlamadan en az ücretli öðretmen sayýsý kadar atama yapýlmalýdýr
Positive,yaðýz ve hazan
Positive,DELÝ GÝBÝ SEVERÝM SENÝ BEN
Positive,Eski evliliklerin uzun sürmesi kadýnýn çaresizliðinden kaynaklanýyor romantizme gerek yok.
Positive, Türkiye Cumhuriyeti kanunlarý da eðitim sistemi de laik ve sekülerdir 
Negative,asagilik kompleksli dallama
Positive,"Serdar Savaþ Cumhurbaþkanlýðýna Adaylýðýný açýklamýþ, Haydi milyonlarýn umudu Ajdar sýra sende"
Positive,"Çocuk Pornosu suçundan 3 yýl hapis cezasý alan, hükümet kanallarýnýn saygýn iþadamý diye yutturmaya çalýþtýðý Necmettin Kesgin kendisine sapýk dediðim için beni mahkemeye vermiþ. Bu arada bu sapýk hakkýnda 5 ayrý suçtan yakalama kararý var."
Positive, Yunan medyasý çýlgýna dönmüþ olanlara inanamýyorlarmýþ bir kelime de onlara edelim Hayyalessaleh siz de birþey diyor mu 
Positive, Anlamsýz günlerden bir tanesini daha yolcu ettik 
Negative, berkayout yuh adýný deðiþtirincr tanýmadan gt yaptým beynime sokam 
Negative,Yahudiler sert sokus yapmýþtý.
Positive,O bölge orman alaný deðil arkadaþlar makilik ot var bolca yanma sebebi de otlar kurudu çýra gibi yanýyor. Yanýnca otel yazlýk olacak bu bölge için geçerli deðil. Buyurun resimleri aþaðýda
Positive, þeytan þoktur þuan beni nasýl geçtiniz diye 
Negative,sana ne adi þerefsiz yobaz
Positive,"Ýntikamý hayat alýr, sen farkýna varmazsýn"
Positive,"Eþinin kurduðu, sahibi olduðu Ýpek holding adýna 'TMSF yetkilileri' Melek Ýpek i evinden çýkardýlar."
Positive,Mentoronoma iki drum vuram da birbirine benzeyen kelimeleri yan yana koyam ÞENGÞDNGÞSNÞEMF 
Negative,sanki twitter kraliyet sarayýbu dangoz da asil üyesihareketlere bak lan dsosyal medya uzmaný mýsýnýzolum sen kimsin
Negative,yavþaklar saldýrmaya baþlamýþ yine hoþt 
Negative,yani sik sertleþmiþ þekilde sertçe tutulunca bu organýn sana girmesini çok istiyorum anlamýnýn dýþýnda bir de bak hele bende nasýl bir þey var demek isteniyor olabilir nasýl da ihtiþamlý olduðunu bu þekilde ispat çabasýdýr belki de 
Positive,Tuvalet var mý ?
Negative,"Bu da Türk televizyonlarýnda yaþ sýnýrý denetlenmeden,yetiþkin ve çocuklarýn ayný anda yemek yerken haberlerden hemen sonrasý izlediði 'çukur' dizisi.Bu da Selim karakteri.Aþýk olduðu adamlarý öldürüp aðlayan gizli gay i oynuyor"
Positive,Adýný Emel de yapsan Temel de yapsan kaçamayacaksýn. Hesabýný korumaya alarak twetlerini silerek kurtulamayacaksýn.
Positive,"5 Temmuz20 Pazar günü Total hedef kitlede 2,71 reyting 14,93 share, ABde 3,57 reyting"
Negative,Kafanýzýn içinde beyin yerine bok var
Positive,Yeni tatlara hiç açýk deðilim ya kokusunu sevmediysem bir de görünüþünü hiç bir kuvvet annem dýþýnda bana onu yedirtemez
Positive,"86,Ben aþýrý eðleniyorum þuan"
Negative,Kesin sesinizi 
Positive,Can çekiþerek uyandým 
Positive,allah tembellik edeni sevmez
Negative,konuþarak laf anlatamadiðim ne yaparsam yapayim andaval andaval bakan baðnaz kapali düz ve boþ amk çocuklarini sevmiyorum
Negative,bana mý diss atýyon bücür
Positive,Temizlik Ýþleri Müdürlüðümüz bünyesinde hizmet veren çöp kamyonlarýný belediyemiz imkânlarýyla boyayarak güzel bir görünüm kazandýrdýk.
Positive,en son hangi takýmda baþarýlý olmuþ bence çok konuþuyor az konuþup icraat yapmasý lazým inþ baþarýr ne diyelim çok ümidim yok
Positive,destek tiwiti
Positive,Demekki Sultanahmeti doldurmuþuz 
Positive,kartal avcýsý fernando galatasaray
Positive, abisi kardeþim adamýn evli olduðunu bilmiyordum diyor hala namus derdinde kafasýz adam yazýk sizin gibi insanlara ya 
Positive,bir bebeðin doðduðu  an kadar güzel hiç bir þey yok
Negative,Hiçbirini tanýmýyorum ama bazýlarý çok mal
Negative,tamam anladýk danla biliç þiþko yazmayýn artýk
Positive,Herkesten soðuduðum zamanlardayým.
Positive, Huzurlu þýk ve güzel bir Gün olsun MUTLU SABAHLAR Aþk ile____ 
Positive,Dýþarýsý sýcak ev sýcak nabýcaz biz la
Positive,sofi tukkerin her sarkisi cok basarili
Positive,Ya allah yarabb 
Positive,oyun bozanlarýn en hayýrlýsý rabbim oyunlarýný bozacaktýr
Negative,Ý M Götlek elbet bir gün tutuklanacaktýr o iddanameyi hazýrlayan savcý ne güzel savcý onu gözaltýna alan polis ne yaman polis onu tutuklayan hakim ne þanlý hakimdir 
Negative,hýrbo git gündemde kalmak için sataþacak baþka birini bul
Negative,yine bir kavga ve sen benim kim oldugumu biliyor musun cumlesi  gercekten merak uyandirdi  kimdi acaba keko
Negative,Amk'un denyosu bir þeyi içi boþ kafana sok ve sus
Positive,bana gönüllüler gerçek gelmiyor sorular önceden verilmiþ öss gibi millet çabalar onlar haksýz zafer kutlar
Negative,Bir güven problemim var herkes þerefsiz gibiii geliyor 
Positive,bu nasýl bir tarzdýr
Positive, Sevdiklerimizi de üzerimizde haklarý olanlarý da cehennemden âzât et Ya Rabbi Biz de o bedevinin istediðini istiyoruz kabul 
Positive,biz dinden uzaklaþýrsak allah daha çok bela verir
Positive,"Sosyal Medyada iyi küfreden/hakaret eden deðil """"Algýyý iyi yöneten"""" kazanýr."
Negative,Hýzlý oyuncu bu sefer Nkoudu geldi aklýma bu da o mal gibi sadece koþar Ama gelecekse inþallah onyekuru gibi bizde tutar 
Positive,"Fotoðraflara bakýnca sadece bir seli deðil, Karadeniz Sahil Yolunu, HES'leri, dere islahý diye sularýn duvarlara hapsedilmesini, taþ ocaklarýný görün... Yok caným ne alakasý var iklim krizi ile!"
Negative,bu bücür uyumamýþ
Positive,Ýki gereksiz erkek giysisi hayatýmýn hiçbir döneminde kullanmadým He bir de o çapraz astýðýnýz tipsiz çanta 
Negative, yasine pisliðinde boðul diyen herkesi kendi pisliklerinde boðarým ayaðýnýzý denk alýn
Positive,Bu adam nasýl sevilmez?
Positive,esad ý islamcý militanlara karþý verdiði baþarýlý mücadeleden dolayý tebrik etti
Positive,Kusura bakma kardeþ güldüremedik seni 
Negative, bulentuslu Bunlarýn duruþuna sokayým 
Positive, olarak verimliliðin artýrýlmasý maliyetlerin düþürülmesi ve milli tarým teknolojilerinin kullanýlmasý amacýyla 
Negative, imdat Varsýn istesinler çeþmeyi bodrumu senden vazgeçene sokayým hortumu CIRPICI 
Negative,keþke o aðzýn kopsases tellerini de ayakkabýlarýma baðcýk olarak kullansam sayýn kepaze
Positive,allah beni kahretmesin makyaj bile iþe yaramadý bendesim döküp geliyorum
Positive,TC Kültür Ve Turizm Bakanlýðýnýn Adýyamana Yapamadýðý Tanýtýmý Mabel Matiz Tek Klibinde Bütün Güzellikleri Ýle Ortaya Koydu Teþekkür Edeceðinize Saldýrýyorsunuz
Positive,çok fena bir þekil de shiplemeye baþladýmo nasýl asilliktir
Positive,Teþekkürler teknolojik aletiyle ateþimi ölçen muavin
Negative,Ayrýca Trump seninde taaaaa amuaaa koyam 
Positive,"Müge Anlý'nýn bu sabah olan programýndan. Bir oyuncaðýn fahiþ fiyatlarla satýlýp ama aslýnda oyuncak deðil çocuklarýn satýldýðý söyledi, çocuk ticaretine deðindi. Sosyal medya kullanmayan veya kullanýp da gündemden haberi olmayan herkesi uyardý."
Negative,pazar saha da olacak seni ve o gerzek kanalýný göt edeceðim sabret
